vehicle_type,body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Car_0_BEV,Car,BEV,2026,13,89,95.9,298,49000.0,11.27,0.0
Car_1_BEV,Car,BEV,2025,16,103,95.2,291,46550.0,11.31,0.0
Car_2_BEV,Car,BEV,2024,16,96,98.0,284,44222.5,11.16,0.0
Car_3_BEV,Car,BEV,2023,14,68,102.4,279,42011.37,10.94,0.0
Car_4_BEV,Car,BEV,2022,13,49,99.8,280,39910.81,11.07,0.0
Car_5_BEV,Car,BEV,2021,11,35,98.2,237,37915.27,11.15,0.0
Car_6_BEV,Car,BEV,2020,8,26,110.5,252,36019.5,10.57,0.0
Car_7_BEV,Car,BEV,2019,10,27,113.1,218,34218.53,10.47,0.0
Car_8_BEV,Car,BEV,2018,11,20,112.6,186,32507.6,10.49,0.0
Car_9_BEV,Car,BEV,2017,13,23,108.7,169,30882.22,10.65,0.0
Car_10_BEV,Car,BEV,2016,11,25,103.1,172,29338.11,10.9,0.0
Car_11_BEV,Car,BEV,2015,10,18,103.2,157,27871.2,10.9,0.0
Car_12_BEV,Car,BEV,2014,10,13,106.1,114,26477.64,10.77,0.0
Car_13_BEV,Car,BEV,2013,9,12,104.3,104,25153.76,10.85,0.0
Car_14_BEV,Car,BEV,2012,5,5,95.6,112,23896.07,11.29,0.0
Car_15_BEV,Car,BEV,2011,3,4,93.8,73,22701.27,11.39,0.0
Car_16_BEV,Car,BEV,2010,0,0,89.8,0,21566.21,11.63,0.0
Car_17_BEV,Car,BEV,2009,0,0,87.7,0,20487.9,11.76,0.0
Car_18_BEV,Car,BEV,2008,1,1,98.0,100,19463.5,11.16,0.0
Car_19_BEV,Car,BEV,2007,0,0,85.1,0,18490.33,11.94,0.0
Car_0_Diesel,Car,Diesel,2026,0,0,29.5,0,38500.0,21.85,359.66
Car_1_Diesel,Car,Diesel,2025,0,0,29.2,0,36575.0,21.97,362.24
Car_2_Diesel,Car,Diesel,2024,0,0,28.9,0,34746.25,22.11,367.5
Car_3_Diesel,Car,Diesel,2023,0,0,28.4,0,33008.94,22.33,374.34
Car_4_Diesel,Car,Diesel,2022,0,0,29.2,0,31358.49,21.98,363.6
Car_5_Diesel,Car,Diesel,2021,0,0,29.3,0,29790.57,21.95,362.5
Car_6_Diesel,Car,Diesel,2020,0,0,29.4,0,28301.04,21.92,359.95
Car_7_Diesel,Car,Diesel,2019,2,6,35.2,0,26885.99,19.95,295.83
Car_8_Diesel,Car,Diesel,2018,3,10,34.8,0,25541.69,20.07,294.5
Car_9_Diesel,Car,Diesel,2017,3,8,35.2,0,24264.6,19.94,290.0
Car_10_Diesel,Car,Diesel,2016,2,8,31.4,0,23051.37,21.16,325.12
Car_11_Diesel,Car,Diesel,2015,4,17,32.8,0,21898.8,20.68,311.57
Car_12_Diesel,Car,Diesel,2014,4,15,31.5,0,20803.86,21.11,322.3
Car_13_Diesel,Car,Diesel,2013,2,7,31.8,0,19763.67,21.02,319.17
Car_14_Diesel,Car,Diesel,2012,2,5,32.2,0,18775.49,20.85,314.55
Car_15_Diesel,Car,Diesel,2011,3,5,31.4,0,17836.71,21.16,324.25
Car_16_Diesel,Car,Diesel,2010,3,5,31.4,0,16944.88,21.16,324.25
Car_17_Diesel,Car,Diesel,2009,3,4,30.2,0,16097.63,21.6,339.1
Car_18_Diesel,Car,Diesel,2008,1,1,26.0,0,15292.75,23.46,391.54
Car_19_Diesel,Car,Diesel,2007,1,1,26.0,0,14528.11,23.46,391.54
Car_0_Gas,Car,Gas,2026,28,174,23.8,0,35000.0,24.7,396.25
Car_1_Gas,Car,Gas,2025,27,194,23.6,0,33250.0,24.84,399.09
Car_2_Gas,Car,Gas,2024,32,256,23.3,0,31587.5,25.02,404.88
Car_3_Gas,Car,Gas,2023,34,339,22.9,0,30008.12,25.29,412.42
Car_4_Gas,Car,Gas,2022,34,349,23.6,0,28507.72,24.85,400.59
Car_5_Gas,Car,Gas,2021,36,381,23.6,0,27082.33,24.81,399.37
Car_6_Gas,Car,Gas,2020,41,448,23.7,0,25728.22,24.78,396.57
Car_7_Gas,Car,Gas,2019,40,474,23.8,0,24441.81,24.68,390.27
Car_8_Gas,Car,Gas,2018,41,486,23.9,0,23219.72,24.63,388.31
Car_9_Gas,Car,Gas,2017,39,468,24.0,0,22058.73,24.6,388.85
Car_10_Gas,Car,Gas,2016,39,453,23.7,0,20955.79,24.77,392.27
Car_11_Gas,Car,Gas,2015,39,449,23.4,0,19908.0,24.97,398.43
Car_12_Gas,Car,Gas,2014,41,414,23.2,0,18912.6,25.1,402.86
Car_13_Gas,Car,Gas,2013,40,385,23.1,0,17966.97,25.15,402.94
Car_14_Gas,Car,Gas,2012,42,377,22.4,0,17068.62,25.65,417.59
Car_15_Gas,Car,Gas,2011,42,350,21.7,0,16215.19,26.1,428.48
Car_16_Gas,Car,Gas,2010,44,335,21.5,0,15404.43,26.3,434.37
Car_17_Gas,Car,Gas,2009,45,333,21.0,0,14634.21,26.69,444.46
Car_18_Gas,Car,Gas,2008,46,339,20.5,0,13902.5,27.1,454.02
Car_19_Gas,Car,Gas,2007,43,304,20.3,0,13207.38,27.21,454.23
Car_0_Hybrid,Car,Hybrid,2026,11,89,32.1,0,40250.0,20.89,307.48
Car_1_Hybrid,Car,Hybrid,2025,11,96,31.2,0,38237.5,21.23,313.92
Car_2_Hybrid,Car,Hybrid,2024,11,82,30.1,0,36325.62,21.62,324.18
Car_3_Hybrid,Car,Hybrid,2023,10,78,31.0,0,34509.34,21.29,316.36
